TABLE_NAME,TABLE_TEXT
UUD9CPP,GL Fisc Per Bal Std Desc Physical file
UUEACPP,Report Cash Generated Physical file
UUEBREP,AP Std Product Cnvrsn Physical file
UUECCPP,SIC Worksheet Temp Physical file
UUEDCPP,Employee PR Codes By Grp Physical file
UUEEREP,UPM User Profile / Menu Physical file
UUEFREP,Balance Sheet Year End Physical file
UUEGREP,PR TD1 Form Type Physical file
UUEHCPP,BNS Elctrnc Stmnt Dwnld Physical file
UUEICPP,MN Combined Menus File Physical file
UUEJCPP,Cashed Cheques NBD Dwnld Physical file
UUEKREP,PIM4151 Ctrl Incm Physical file
UUELCPP,T4 Transmitter Record Physical file
UUEMCPP,T4 Summary Record Physical file
UUENCPP,T4 Slip Record Physical file
UUEOREP,SIC Worksheet Project Physical file
UUEPCPP,UGL Update GL Fiscal Wrkf Physical file
UUEQCPP,Change Order Dtl Sort Fil Physical file
UUERCPP,Material Detail Sort File Physical file
UUESCPP,Employee Master Inactive Physical file
UUETCPP,Employee Master HRM Inact Physical file
UUEUREP,PIM4151 Ctrl Incm Acct Physical file
UUEVCPP,AP Invoice GST Physical file
UUEWCPP,SCD Sub-Contract Deletion Physical file
UUEXCPP,Payroll Trans Physical file
UUEYCPP,BAR Billing/AR Deletion Physical file
UUEZCPP,AR Invoice Transactions Physical file
UUE0CPP,AP Invoices Extension Physical file
UUE1CPP,Material Detail Audit Physical file
UUE2CPP,Labour Detail Audit Physical file
UUE3CPP,EPCA Emp Pay Code Audit Physical file
UUE4CPP,Work GL Transactions Physical file
UUE5CPP,Monthly Calendar Physical file
UUE6CPP,MDW Mat Dtl Cash Gen Wrkf Physical file
UUE7CPP,APW AP Inv Cash Gen Wrkf Physical file
UUE8CPP,Cash Gen - Future Wrkf Physical file
UUE9REP,P&L Ctrl Othr Incm Line Physical file
UUFAREP,P&L Ctrl Incm Line Physical file
UUFBCPP,PIM4151 Long Cnsl Inc Physical file
UUFCREP,Cost Plus Projects Physical file
UUFDREP,PIM4150 Ctrl Incm Acct Frcst Physical file
UUFEREP,PIM4150 Ctrl Othr Incm Frcst Physical file
UUFFREP,PIM4151 Ctrl Othr Incm Acct Physical file
UUFGREP,PIM4150 Ctrl Othr Incm Old Physical file
UUFHREP,P&L Ctrl Incm Line Long Physical file
UUFICPP,Project EB Int Chrg Physical file
UUFJCPP,AR Invoice Trans Spec Physical file
UUFKREP,EB Int Chrg Dflts Physical file
UUFLCPP,Project EB Int Chrg Tran Physical file
UUFMCPP,WJ Commissions Physical file
UUFNREP,Project Spreadsheet Split Physical file
UUFOCPP,AR Uncertified Billing Physical file
UUFPCPP,Time Sheets Notes Physical file
UUFQCPP,PR Emp & Fam Assist Pgm Physical file
UUFRCPP,GL Fisc Per Bal Ptnr Physical file
UUFTCPP,GL Fsc Per Bl Std D Ptnr Physical file
UUFUCPP,Contract History Ptnr Physical file
UUFVREP,Provincial Tax Base Physical file
UUFWCPP,Budget Std Desc Physical file
UUFZREP,ML Salutation Physical file
UUF0REP,PR Y/E Flags By Group Physical file
UUF1CPP,Year End Accruals Physical file
UUF2CPP,PIM4150 Data Partner Physical file
UUF3CPP,PIM4150 Forecast Partner Physical file
UUF4CPP,P&L Indirect Ovrhd Ptnr Physical file
UUF5CPP,P&L Ctrl Incm Ptnr Physical file
UUF6CPP,P&L Ctrl O Incm Ptnr Physical file
UUF7CPP,P&L Ctrl Incm Ptnr Ac Physical file
UUF8CPP,P&L Ctrl Incm Ptnr Ac Frc Physical file
UUF9CPP,P&L Ctrl O Incm Ptnr Ac Physical file
UUGACPP,P&L Ctrl O Incm Ptnr Ac F Physical file
UUGBCPP,P&L Ctrl O Incm Ptnr Ln Physical file
UUGCCPP,Sub-Contract by Region Physical file
UUGDREP,Element Type Physical file
UUGEREP,Element Master Physical file
UUGFREP,Sub-Element Master Physical file
UUGGREP,Bid Company Master Physical file
UUGHREP,Bid Project Physical file
UUGICPP,Concrete/Formwork Breakdn Physical file
UUGJCPP,Building/Sitework Area Physical file
UUGKCPP,Bid Rank Physical file
UUGLCPP,Bid Project Comment Physical file
UUGMCPP,Bid Project Element Physical file
UUGNCPP,Bid Project Sub-Element Physical file
